review_id,meal_id,review_text,sentiment,sentiment_score
R000001,M0001,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000002,M0001,"Pretty good, I've had better but wouldn't say no to ordering again.",NEGATIVE,-1
R000003,M0001,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
R000004,M0001,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000005,M0001,Loved every bite. The packaging was also excellent.,POSITIVE,1
R000006,M0002,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000007,M0002,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000008,M0002,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000009,M0002,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000010,M0002,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000011,M0003,Perfect seasoning and amazing presentation. Worth every penny.,POSITIVE,1
R000012,M0003,Best Classic Beef Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000013,M0003,The Classic Beef Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000014,M0003,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000015,M0003,The Classic Beef Burger was okay. Expected a bit more flavor.,POSITIVE,1
R000016,M0004,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000017,M0004,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000018,M0004,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000019,M0004,"Decent taste, nothing extraordinary but satisfying.",POSITIVE,1
R000020,M0004,Missing items from my order. Customer service was unhelpful.,NEGATIVE,-1
R000021,M0005,Portion was too small for the price. Won't order again.,NEGATIVE,-1
R000022,M0005,Amazing food! Delivered hot and fresh. Will definitely order again.,POSITIVE,1
R000023,M0005,Fresh ingredients and perfectly cooked. Highly recommended!,POSITIVE,1
R000024,M0005,Exceeded my expectations. This is exactly what comfort food should taste like.,POSITIVE,1
R000025,M0005,Disappointed with the quality. Not what I expected.,NEGATIVE,-1
R000026,M0006,The quality is consistently great. My go-to order every week.,POSITIVE,1
R000027,M0006,Best Double Smash Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000028,M0006,Best Double Smash Burger I've ever had. The flavor was incredible!,POSITIVE,1
R000029,M0006,The Double Smash Burger was cold on arrival. Very frustrating.,NEGATIVE,-1
R000030,M0006,Super fast delivery and the food was outstanding. 5 stars!,POSITIVE,1
