review_id,meal_id,meal_name,restaurant,rating,review_text,sentiment_label,review_date,helpful_votes
R000001,M0001,Classic Beef Burger,Mama's Kitchen,1.9,Disappointed with the quality. Not what I expected.,negative,2026-03-19,8
R000002,M0001,Classic Beef Burger,Mama's Kitchen,3.8,"Pretty good, I've had better but wouldn't say no to ordering again.",neutral,2026-04-05,44
R000003,M0001,Classic Beef Burger,Mama's Kitchen,4.0,Super fast delivery and the food was outstanding. 5 stars!,positive,2026-02-01,50
R000004,M0001,Classic Beef Burger,Mama's Kitchen,4.7,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-12-14,10
R000005,M0001,Classic Beef Burger,Mama's Kitchen,4.0,Loved every bite. The packaging was also excellent.,positive,2025-10-24,20
R000006,M0002,Classic Beef Burger,Desert Rose Kitchen,5.0,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-10-06,9
R000007,M0002,Classic Beef Burger,Desert Rose Kitchen,1.0,Portion was too small for the price. Won't order again.,negative,2025-09-29,48
R000008,M0002,Classic Beef Burger,Desert Rose Kitchen,1.5,Disappointed with the quality. Not what I expected.,negative,2025-07-04,43
R000009,M0002,Classic Beef Burger,Desert Rose Kitchen,5.0,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-09-01,9
R000010,M0002,Classic Beef Burger,Desert Rose Kitchen,1.3,Disappointed with the quality. Not what I expected.,negative,2026-01-28,10
R000011,M0003,Classic Beef Burger,Flavor Street,4.3,Perfect seasoning and amazing presentation. Worth every penny.,positive,2026-03-23,25
R000012,M0003,Classic Beef Burger,Flavor Street,4.0,Best Classic Beef Burger I've ever had. The flavor was incredible!,positive,2026-01-17,29
R000013,M0003,Classic Beef Burger,Flavor Street,2.6,The Classic Beef Burger was okay. Expected a bit more flavor.,neutral,2025-12-27,18
R000014,M0003,Classic Beef Burger,Flavor Street,2.6,"Decent taste, nothing extraordinary but satisfying.",neutral,2026-01-12,42
R000015,M0003,Classic Beef Burger,Flavor Street,2.7,The Classic Beef Burger was okay. Expected a bit more flavor.,neutral,2025-10-12,33
R000016,M0004,Classic Beef Burger,Pasta Corner,4.8,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-10-23,35
R000017,M0004,Classic Beef Burger,Pasta Corner,2.3,Portion was too small for the price. Won't order again.,negative,2025-07-22,31
R000018,M0004,Classic Beef Burger,Pasta Corner,1.2,Portion was too small for the price. Won't order again.,negative,2025-06-19,49
R000019,M0004,Classic Beef Burger,Pasta Corner,2.8,"Decent taste, nothing extraordinary but satisfying.",neutral,2025-07-11,35
R000020,M0004,Classic Beef Burger,Pasta Corner,1.6,Missing items from my order. Customer service was unhelpful.,negative,2025-11-09,26
R000021,M0005,Double Smash Burger,The Foodie Hub,1.6,Portion was too small for the price. Won't order again.,negative,2025-10-31,2
R000022,M0005,Double Smash Burger,The Foodie Hub,4.2,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2026-03-17,28
R000023,M0005,Double Smash Burger,The Foodie Hub,4.3,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2025-12-10,40
R000024,M0005,Double Smash Burger,The Foodie Hub,4.4,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-12-13,20
R000025,M0005,Double Smash Burger,The Foodie Hub,2.4,Disappointed with the quality. Not what I expected.,negative,2025-08-24,7
R000026,M0006,Double Smash Burger,Desert Rose Kitchen,4.0,The quality is consistently great. My go-to order every week.,positive,2025-06-16,18
R000027,M0006,Double Smash Burger,Desert Rose Kitchen,4.6,Best Double Smash Burger I've ever had. The flavor was incredible!,positive,2025-11-08,48
R000028,M0006,Double Smash Burger,Desert Rose Kitchen,4.7,Best Double Smash Burger I've ever had. The flavor was incredible!,positive,2026-03-22,11
R000029,M0006,Double Smash Burger,Desert Rose Kitchen,2.1,The Double Smash Burger was cold on arrival. Very frustrating.,negative,2025-08-27,22
R000030,M0006,Double Smash Burger,Desert Rose Kitchen,4.0,Super fast delivery and the food was outstanding. 5 stars!,positive,2026-03-17,42
R000031,M0007,Double Smash Burger,Crave It,4.1,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-11-06,34
R000032,M0007,Double Smash Burger,Crave It,4.7,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-09-05,42
R000033,M0007,Double Smash Burger,Crave It,2.9,Good food overall but delivery took longer than expected.,neutral,2025-09-04,41
R000034,M0007,Double Smash Burger,Crave It,2.7,"Pretty good, I've had better but wouldn't say no to ordering again.",neutral,2025-08-10,24
R000035,M0007,Double Smash Burger,Crave It,2.6,"Pretty good, I've had better but wouldn't say no to ordering again.",neutral,2025-07-03,1
R000036,M0008,Crispy Chicken Burger,Desert Rose Kitchen,1.3,Portion was too small for the price. Won't order again.,negative,2025-10-07,40
R000037,M0008,Crispy Chicken Burger,Desert Rose Kitchen,2.2,The Crispy Chicken Burger was cold on arrival. Very frustrating.,negative,2026-03-07,27
R000038,M0008,Crispy Chicken Burger,Desert Rose Kitchen,4.4,Absolutely delicious. Generous portions and great value for money.,positive,2025-06-28,7
R000039,M0008,Crispy Chicken Burger,Desert Rose Kitchen,4.6,Best Crispy Chicken Burger I've ever had. The flavor was incredible!,positive,2026-04-14,3
R000040,M0008,Crispy Chicken Burger,Desert Rose Kitchen,2.0,The taste was bland and the delivery was late.,negative,2025-06-01,10
R000041,M0009,Crispy Chicken Burger,Pasta Corner,4.1,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-05-24,31
R000042,M0009,Crispy Chicken Burger,Pasta Corner,4.4,Absolutely delicious. Generous portions and great value for money.,positive,2025-12-16,43
R000043,M0009,Crispy Chicken Burger,Pasta Corner,2.0,Portion was too small for the price. Won't order again.,negative,2025-09-30,25
R000044,M0009,Crispy Chicken Burger,Pasta Corner,4.4,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2025-08-05,6
R000045,M0009,Crispy Chicken Burger,Pasta Corner,4.3,Loved every bite. The packaging was also excellent.,positive,2026-04-27,37
R000046,M0010,Crispy Chicken Burger,Crave It,4.3,Fantastic taste and quick delivery. Family loved it!,positive,2026-01-01,19
R000047,M0010,Crispy Chicken Burger,Crave It,3.2,The Crispy Chicken Burger was okay. Expected a bit more flavor.,neutral,2026-02-04,49
R000048,M0010,Crispy Chicken Burger,Crave It,2.9,The Crispy Chicken Burger was okay. Expected a bit more flavor.,neutral,2025-12-24,2
R000049,M0010,Crispy Chicken Burger,Crave It,4.8,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2025-11-26,42
R000050,M0010,Crispy Chicken Burger,Crave It,3.4,Average portion size for the price. Food was warm but not hot.,neutral,2025-12-21,39
R000051,M0011,Crispy Chicken Burger,Street Eats,5.0,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2026-01-16,3
R000052,M0011,Crispy Chicken Burger,Street Eats,3.1,"Decent taste, nothing extraordinary but satisfying.",neutral,2026-01-08,36
R000053,M0011,Crispy Chicken Burger,Street Eats,4.2,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-08-14,29
R000054,M0011,Crispy Chicken Burger,Street Eats,2.2,Packaging was damaged and food quality was below average.,negative,2025-11-14,39
R000055,M0011,Crispy Chicken Burger,Street Eats,4.6,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-08-19,37
R000056,M0012,Crispy Chicken Burger,Mediterranean Nights,4.6,Best Crispy Chicken Burger I've ever had. The flavor was incredible!,positive,2025-12-25,16
R000057,M0012,Crispy Chicken Burger,Mediterranean Nights,4.2,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2026-01-21,32
R000058,M0012,Crispy Chicken Burger,Mediterranean Nights,4.6,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2026-02-22,5
R000059,M0012,Crispy Chicken Burger,Mediterranean Nights,4.9,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-07-26,28
R000060,M0012,Crispy Chicken Burger,Mediterranean Nights,4.2,The quality is consistently great. My go-to order every week.,positive,2025-12-09,46
R000061,M0013,Crispy Chicken Burger,Pizza Palace,1.3,The Crispy Chicken Burger was cold on arrival. Very frustrating.,negative,2025-11-29,20
R000062,M0013,Crispy Chicken Burger,Pizza Palace,4.1,Loved every bite. The packaging was also excellent.,positive,2025-06-29,30
R000063,M0013,Crispy Chicken Burger,Pizza Palace,3.1,The Crispy Chicken Burger was okay. Expected a bit more flavor.,neutral,2025-10-21,24
R000064,M0013,Crispy Chicken Burger,Pizza Palace,4.7,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-08-17,9
R000065,M0013,Crispy Chicken Burger,Pizza Palace,4.7,Loved every bite. The packaging was also excellent.,positive,2025-08-19,5
R000066,M0014,Crispy Chicken Burger,Sushi World,4.1,The quality is consistently great. My go-to order every week.,positive,2026-03-17,10
R000067,M0014,Crispy Chicken Burger,Sushi World,4.0,Best Crispy Chicken Burger I've ever had. The flavor was incredible!,positive,2026-03-23,7
R000068,M0014,Crispy Chicken Burger,Sushi World,2.9,The Crispy Chicken Burger was okay. Expected a bit more flavor.,neutral,2025-05-03,29
R000069,M0014,Crispy Chicken Burger,Sushi World,4.8,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2026-03-25,2
R000070,M0014,Crispy Chicken Burger,Sushi World,2.2,The Crispy Chicken Burger was cold on arrival. Very frustrating.,negative,2025-11-20,49
R000071,M0015,Crispy Chicken Burger,Burger Factory,3.5,Average portion size for the price. Food was warm but not hot.,neutral,2026-04-18,34
R000072,M0015,Crispy Chicken Burger,Burger Factory,4.3,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2026-02-20,44
R000073,M0015,Crispy Chicken Burger,Burger Factory,4.3,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-05-29,49
R000074,M0015,Crispy Chicken Burger,Burger Factory,3.7,Average portion size for the price. Food was warm but not hot.,neutral,2026-02-19,20
R000075,M0015,Crispy Chicken Burger,Burger Factory,1.6,Portion was too small for the price. Won't order again.,negative,2026-02-17,9
R000076,M0016,Bbq Bacon Burger,The Hungry Bear,4.6,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2025-11-21,3
R000077,M0016,Bbq Bacon Burger,The Hungry Bear,1.1,The Bbq Bacon Burger was cold on arrival. Very frustrating.,negative,2025-09-03,41
R000078,M0016,Bbq Bacon Burger,The Hungry Bear,4.8,Fresh ingredients and perfectly cooked. Highly recommended!,positive,2026-04-15,49
R000079,M0016,Bbq Bacon Burger,The Hungry Bear,4.9,Fantastic taste and quick delivery. Family loved it!,positive,2025-08-25,44
R000080,M0016,Bbq Bacon Burger,The Hungry Bear,4.6,Perfect seasoning and amazing presentation. Worth every penny.,positive,2026-01-26,23
R000081,M0017,Bbq Bacon Burger,Sushi World,4.6,Super fast delivery and the food was outstanding. 5 stars!,positive,2025-09-08,29
R000082,M0017,Bbq Bacon Burger,Sushi World,3.5,The Bbq Bacon Burger was okay. Expected a bit more flavor.,neutral,2026-04-21,11
R000083,M0017,Bbq Bacon Burger,Sushi World,3.0,Good food overall but delivery took longer than expected.,neutral,2026-03-31,22
R000084,M0017,Bbq Bacon Burger,Sushi World,4.7,Best Bbq Bacon Burger I've ever had. The flavor was incredible!,positive,2025-09-28,9
R000085,M0017,Bbq Bacon Burger,Sushi World,4.6,Loved every bite. The packaging was also excellent.,positive,2025-06-27,49
R000086,M0018,Bbq Bacon Burger,Mediterranean Nights,1.3,Portion was too small for the price. Won't order again.,negative,2025-10-22,1
R000087,M0018,Bbq Bacon Burger,Mediterranean Nights,4.5,Super fast delivery and the food was outstanding. 5 stars!,positive,2026-04-01,28
R000088,M0018,Bbq Bacon Burger,Mediterranean Nights,1.9,Missing items from my order. Customer service was unhelpful.,negative,2025-09-21,2
R000089,M0018,Bbq Bacon Burger,Mediterranean Nights,4.4,Best Bbq Bacon Burger I've ever had. The flavor was incredible!,positive,2025-07-01,46
R000090,M0018,Bbq Bacon Burger,Mediterranean Nights,1.1,Portion was too small for the price. Won't order again.,negative,2025-09-22,45
R000091,M0019,Bbq Bacon Burger,Fresh & Fit,3.1,Good food overall but delivery took longer than expected.,neutral,2026-03-15,37
R000092,M0019,Bbq Bacon Burger,Fresh & Fit,1.1,The Bbq Bacon Burger was cold on arrival. Very frustrating.,negative,2025-12-04,19
R000093,M0019,Bbq Bacon Burger,Fresh & Fit,2.8,"Decent taste, nothing extraordinary but satisfying.",neutral,2025-06-23,2
R000094,M0019,Bbq Bacon Burger,Fresh & Fit,4.1,Perfect seasoning and amazing presentation. Worth every penny.,positive,2025-11-21,29
R000095,M0019,Bbq Bacon Burger,Fresh & Fit,4.3,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-09-24,16
R000096,M0020,Bbq Bacon Burger,Shawarma Station,4.3,The quality is consistently great. My go-to order every week.,positive,2025-08-23,46
R000097,M0020,Bbq Bacon Burger,Shawarma Station,3.8,"Decent taste, nothing extraordinary but satisfying.",neutral,2025-09-12,48
R000098,M0020,Bbq Bacon Burger,Shawarma Station,4.3,Fantastic taste and quick delivery. Family loved it!,positive,2025-06-15,8
R000099,M0020,Bbq Bacon Burger,Shawarma Station,4.3,Loved every bite. The packaging was also excellent.,positive,2025-08-15,2
R000100,M0020,Bbq Bacon Burger,Shawarma Station,4.2,Amazing food! Delivered hot and fresh. Will definitely order again.,positive,2025-08-15,4
R000101,M0021,Bbq Bacon Burger,Pasta Corner,4.2,Absolutely delicious. Generous portions and great value for money.,positive,2025-06-10,13
R000102,M0021,Bbq Bacon Burger,Pasta Corner,1.1,Missing items from my order. Customer service was unhelpful.,negative,2025-05-21,8
R000103,M0021,Bbq Bacon Burger,Pasta Corner,2.8,The Bbq Bacon Burger was okay. Expected a bit more flavor.,neutral,2025-10-16,43
R000104,M0021,Bbq Bacon Burger,Pasta Corner,1.9,Portion was too small for the price. Won't order again.,negative,2025-09-04,50
R000105,M0021,Bbq Bacon Burger,Pasta Corner,4.0,Absolutely delicious. Generous portions and great value for money.,positive,2025-12-31,31
R000106,M0022,Bbq Bacon Burger,Desert Rose Kitchen,4.3,Exceeded my expectations. This is exactly what comfort food should taste like.,positive,2025-09-25,7
R000107,M0022,Bbq Bacon Burger,Desert Rose Kitchen,2.2,The Bbq Bacon Burger was cold on arrival. Very frustrating.,negative,2026-04-19,27
R000108,M0022,Bbq Bacon Burger,Desert Rose Kitchen,4.4,Fantastic taste and quick delivery. Family loved it!,positive,2025-12-11,33
R000109,M0022,Bbq Bacon Burger,Desert Rose Kitchen,1.2,The taste was bland and the delivery was late.,negative,2025-11-05,29
R000110,M0022,Bbq Bacon Burger,Desert Rose Kitchen,4.7,Fantastic taste and quick delivery. Family loved it!,positive,2026-01-23,32
R000111,M0023,Mushroom Swiss Burger,Flavor Street,4.5,The quality is consistently great. My go-to order every week.,positive,2025-10-14,48
R000112,M0023,Mushroom Swiss Burger,Flavor Street,4.1,The quality is consistently great. My go-to order every week.,positive,2025-07-22,27
